img,time,lat,lon,dir,blart_txt,other_txt,bold,eyes,nose,simpson,spray,main_col,black,pink,blue,yellow,red,green,white,base,base_mat,private_prop,new_img_req,unsure,notes
IMG_7189.jpg,2026:03:23 20:18:45,62.591903,29.7965,101.65,True,,False,True,True,False,True,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_7360.jpg,2026:04:01 17:26:07,62.619828,29.850769,262.45,True,,False,False,False,False,True,red,False,False,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_6903.jpg,2026:03:01 17:00:24,62.611878,29.787831,303.62,True,,False,False,False,False,True,black,True,False,False,False,False,False,False,alikulku,betoni,False,True,False,
IMG_5365.jpg,2026:03:14 13:40:24,62.593072,29.779361,320.03,True,,False,True,False,False,True,black,True,False,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_7228.jpg,2026:03:26 16:01:46,62.582631,29.780603,247.17,True,,False,True,False,False,False,blue,False,False,True,False,False,False,False,alikulku,betoni,False,False,False,
IMG_6863.jpg,2026:02:28 17:44:15,62.595964,29.769214,328.42,True,,False,False,False,False,True,black,True,False,False,False,False,False,False,autokatos,muovi,True,False,False,
IMG_6867.jpg,2026:02:28 17:46:19,62.596139,29.770456,119.68,False,,False,True,True,True,True,black,True,False,False,False,False,False,False,sisäseinä,betoni,False,False,False,
IMG_7199.jpg,2026:03:24 14:47:12,62.616239,29.789022,90.71,True,,False,False,False,False,False,pink,False,True,False,False,False,False,False,jakokaappi,metalli,False,False,False,sydän
IMG_7166.jpg,2026:03:20 16:38:59,62.594586,29.783089,325.27,True,,False,False,False,False,True,black,True,False,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_7172.jpg,2026:03:20 16:58:15,62.591325,29.773292,338.96,True,FOR THE PEOPLE,False,True,True,False,True,black,True,True,False,True,False,False,False,alikulku,betoni,False,False,False,
IMG_7173.jpg,2026:03:20 16:58:27,62.591306,29.773353,332.57,False,,False,True,True,False,True,yellow,False,False,False,True,False,False,False,alikulku,metalli,False,False,False,
IMG_7167.jpg,2026:03:20 16:53:14,62.590808,29.775383,207.26,True,,False,False,False,False,True,black,True,False,False,False,False,False,False,jakokaappi,metalli,False,False,False,
IMG_7359.jpg,2026:04:01 17:24:45,62.618272,29.851953,253.84,True,24,True,False,False,False,True,red,False,False,False,False,True,False,False,jakokaappi,metalli,False,False,False,
IMG_7007.jpg,2026:03:11 18:31:22,62.5995,29.755608,96.89,True,OY,False,True,True,False,True,black,True,False,False,False,False,False,False,ikkuna,lasi,True,False,False,
